frame_id,type_name,type_id,obj_id,path_img,path_mask,x1,y1,x2,y2,height,width
0,klikun,0,0,klikun\images\1.jpg,klikun\masks\1.png,0,348,985,1364,1365,2048
0,klikun,0,1,klikun\images\1.jpg,klikun\masks\1.png,0,889,94,989,1365,2048
0,klikun,0,2,klikun\images\1.jpg,klikun\masks\1.png,63,666,205,1099,1365,2048
0,klikun,0,3,klikun\images\1.jpg,klikun\masks\1.png,971,730,1426,1269,1365,2048
0,klikun,0,4,klikun\images\1.jpg,klikun\masks\1.png,1474,474,2047,1364,1365,2048
0,klikun,0,5,klikun\images\1.jpg,klikun\masks\1.png,1713,632,2047,1077,1365,2048
0,klikun,0,6,klikun\images\1.jpg,klikun\masks\1.png,937,760,1144,1252,1365,2048
0,klikun,0,7,klikun\images\1.jpg,klikun\masks\1.png,1368,850,1438,956,1365,2048
0,klikun,0,8,klikun\images\1.jpg,klikun\masks\1.png,1154,835,1216,929,1365,2048
1,klikun,0,0,klikun\images\1211999571.jpg,klikun\masks\1211999571.png,42,14,299,224,225,300
2,klikun,0,0,klikun\images\1213000553.jpg,klikun\masks\1213000553.png,61,39,190,206,245,262
2,klikun,0,1,klikun\images\1213000553.jpg,klikun\masks\1213000553.png,142,47,251,223,245,262
2,klikun,0,2,klikun\images\1213000553.jpg,klikun\masks\1213000553.png,174,109,261,155,245,262
3,klikun,0,0,klikun\images\1227728011.jpg,klikun\masks\1227728011.png,53,27,511,339,391,600
4,klikun,0,0,klikun\images\1227728682.jpg,klikun\masks\1227728682.png,110,71,349,599,600,391
5,klikun,0,0,klikun\images\1227740047.jpg,klikun\masks\1227740047.png,110,14,515,390,391,600
6,klikun,0,0,klikun\images\1227743586.jpg,klikun\masks\1227743586.png,95,34,339,366,400,600
7,klikun,0,0,klikun\images\1227757148.jpg,klikun\masks\1227757148.png,412,43,896,502,563,1000
8,klikun,0,0,klikun\images\1227762314.jpg,klikun\masks\1227762314.png,328,73,751,392,506,900
9,klikun,0,0,klikun\images\1233594995.jpg,klikun\masks\1233594995.png,100,25,568,368,391,600
10,klikun,0,0,klikun\images\1265535479.jpg,klikun\masks\1265535479.png,30,71,337,535,600,391
11,klikun,0,0,klikun\images\1427888737.jpg,klikun\masks\1427888737.png,13,12,368,499,500,369
12,klikun,0,0,klikun\images\1428231165.jpg,klikun\masks\1428231165.png,26,77,685,559,561,800
13,klikun,0,0,klikun\images\1428353230.jpg,klikun\masks\1428353230.png,122,153,1464,901,1047,1600
14,klikun,0,0,klikun\images\1428357358.jpg,klikun\masks\1428357358.png,366,144,1177,899,900,1600
15,klikun,0,0,klikun\images\1428369258.jpg,klikun\masks\1428369258.png,187,243,920,1599,1600,1067
16,klikun,0,0,klikun\images\1428373539.jpg,klikun\masks\1428373539.png,139,66,1393,1065,1066,1600
17,klikun,0,0,klikun\images\1428374871.jpg,klikun\masks\1428374871.png,322,71,1370,899,900,1600
18,klikun,0,0,klikun\images\1428394845.jpg,klikun\masks\1428394845.png,0,381,1599,1062,1063,1600
19,klikun,0,0,klikun\images\1428395433.jpg,klikun\masks\1428395433.png,256,239,1246,837,1067,1600
20,klikun,0,0,klikun\images\1428457760.jpg,klikun\masks\1428457760.png,550,502,1164,1149,1199,1600
