name,conf,x1,y1,x2,y2,path_img,true_label
klikun,0.9395377,212,135,640,459,klikun\images\1428654680.jpg,klikun
klikun,0.9410465,310,278,640,640,klikun\images\1429006927.jpg,klikun
klikun,0.9301983,603,81,640,600,klikun\images\1429006927.jpg,klikun
klikun,0.87152565,4,235,640,640,klikun\images\1429232757.jpg,klikun
shipun,0.27844366,2,855,368,640,klikun\images\1429232757.jpg,klikun
klikun,0.9592195,268,52,640,640,klikun\images\1429739095.jpg,klikun
klikun,0.95234793,546,197,640,640,klikun\images\1433278987.jpg,klikun
maliy,0.29378164,230,142,640,476,klikun\images\1433366010.jpg,klikun
klikun,0.23526105,3,4,640,482,klikun\images\1433366010.jpg,klikun
klikun,0.88913435,443,149,640,640,klikun\images\1433400817.jpg,klikun
klikun,0.9615293,730,256,640,640,klikun\images\1434026750.jpg,klikun
klikun,0.9126716,600,525,640,640,klikun\images\1439602753.jpg,klikun
klikun,0.28818884,448,1017,537,640,klikun\images\1439602753.jpg,klikun
klikun,0.8158575,647,359,640,640,klikun\images\1439624539.jpg,klikun
klikun,0.9303552,245,193,640,640,klikun\images\1440731817.jpg,klikun
klikun,0.8319569,207,150,640,394,klikun\images\1461001186.jpg,klikun
maliy,0.14699233,424,156,640,386,klikun\images\1461001186.jpg,klikun
klikun,0.94003356,135,67,410,249,klikun\images\1466262113.jpg,klikun
klikun,0.9336968,106,22,342,327,klikun\images\1466491990.jpg,klikun
shipun,0.5203233,0,39,329,432,klikun\images\1468767888.jpg,klikun
maliy,0.41976345,115,212,383,415,klikun\images\1471175790.jpg,klikun
maliy,0.18952024,241,3,444,246,klikun\images\1471175790.jpg,klikun
klikun,0.60496885,51,15,452,240,klikun\images\1473893990.jpg,klikun
maliy,0.30042318,46,16,454,241,klikun\images\1473893990.jpg,klikun
maliy,0.88810295,157,97,349,255,klikun\images\1474495331.jpg,klikun
klikun,0.9100118,120,121,436,391,klikun\images\1475166970.jpg,klikun
klikun,0.6605431,18,99,492,497,klikun\images\1476124820.jpg,klikun
klikun,0.7529489,230,94,404,284,klikun\images\1476518518.jpg,klikun
klikun,0.5457512,118,123,266,275,klikun\images\1476518518.jpg,klikun
maliy,0.19106591,117,123,268,274,klikun\images\1476518518.jpg,klikun
klikun,0.4805101,127,23,455,479,klikun\images\1477153430.jpg,klikun
klikun,0.57201946,373,84,449,138,klikun\images\1477437299.jpg,klikun
klikun,0.2998801,14,26,444,340,klikun\images\1477437299.jpg,klikun
klikun,0.2708207,289,81,440,211,klikun\images\1477437299.jpg,klikun
klikun,0.67133415,10,68,483,350,klikun\images\1479736930.jpg,klikun
klikun,0.8933941,8,25,359,332,klikun\images\1479788018.jpg,klikun
shipun,0.5527332,171,103,327,304,klikun\images\1479888537.jpg,klikun
klikun,0.89700735,117,33,467,339,klikun\images\1479946063.jpg,klikun
klikun,0.94196653,26,1,428,281,klikun\images\1482755294.jpg,klikun
klikun,0.94147295,19,30,419,294,klikun\images\1482872634.jpg,klikun
klikun,0.21218383,3,1,222,174,klikun\images\1482872634.jpg,klikun
klikun,0.6935802,15,50,462,435,klikun\images\1482881337.jpg,klikun
klikun,0.8793681,9,69,279,252,klikun\images\1482989741.jpg,klikun
klikun,0.9436486,61,72,359,340,klikun\images\1483162010.jpg,klikun
shipun,0.88009894,0,114,318,431,klikun\images\1483611268.jpg,klikun
klikun,0.6395349,2,7,384,495,klikun\images\1485516500.jpg,klikun
shipun,0.7346184,0,0,348,498,klikun\images\1485697920.jpg,klikun
shipun,0.14172652,228,0,351,81,klikun\images\1485697920.jpg,klikun
shipun,0.13348971,0,217,82,424,klikun\images\1485697920.jpg,klikun
klikun,0.64455837,70,15,423,451,klikun\images\1485854883.jpg,klikun
klikun,0.89386874,35,75,410,281,klikun\images\1485930756.jpg,klikun
maliy,0.8261306,220,132,363,238,klikun\images\1486205965.jpg,klikun
maliy,0.7447087,83,135,222,247,klikun\images\1486205965.jpg,klikun
klikun,0.20176432,218,132,366,238,klikun\images\1486205965.jpg,klikun
klikun,0.12780261,79,135,220,249,klikun\images\1486205965.jpg,klikun
klikun,0.951056,27,191,204,467,klikun\images\1486237481.jpg,klikun
klikun,0.26568243,182,82,398,471,klikun\images\1486237481.jpg,klikun
klikun,0.7926783,66,52,418,455,klikun\images\1488557739.jpg,klikun
klikun,0.9216816,27,25,478,279,klikun\images\1488560265.jpg,klikun
klikun,0.8987594,73,101,450,251,klikun\images\1489022523.jpg,klikun
klikun,0.1113973,197,0,289,37,klikun\images\1489022523.jpg,klikun
klikun,0.94888866,100,40,362,284,klikun\images\1489047415.jpg,klikun
shipun,0.6682654,0,274,143,374,klikun\images\1489047415.jpg,klikun
klikun,0.943506,41,81,364,294,klikun\images\1489145413.jpg,klikun
klikun,0.696834,152,49,485,364,klikun\images\1489262663.jpg,klikun
klikun,0.29394832,35,187,252,328,klikun\images\1489262663.jpg,klikun
klikun,0.9455505,192,49,469,246,klikun\images\1492043553.jpg,klikun
klikun,0.9204592,33,122,320,321,klikun\images\1492043553.jpg,klikun
shipun,0.5541837,13,276,640,640,klikun\images\1492513493.jpg,klikun
klikun,0.38209596,31,273,640,640,klikun\images\1492513493.jpg,klikun
klikun,0.9084485,93,41,412,229,klikun\images\1492607781.jpg,klikun
